month,revenue,ebitda,variable_cost,fixed_cost,receivables,inventory,payables,net_working_capital,delta_nwc,cash_taxes,interest_paid,maintenance_capex,operating_cash_flow,free_cash_flow
2024-01-01,10170818.085045641,-2784026.5599165345,10534204.644962175,2420640.0,762811.356378423,231752.50218916783,1000749.4412714066,-6185.582703815773,0.0,0.0,155000.0,478605.94245591166,-2939026.5599165345,-3417632.502372446
2024-02-01,10137238.43435607,-2329202.061924357,10038600.496280426,2427840.0,760292.8825767052,220849.21091816935,953667.0471466405,27475.046348234056,33660.62905204983,0.0,155000.0,400551.1621995022,-2517862.690976407,-2918413.8531759093
2024-03-01,11206297.17292211,-1708712.6493177793,10494369.822239889,2420640.0,840472.2879691583,230876.13608927754,996965.1331127895,74383.29094564624,46908.24459741218,0.0,155000.0,452499.71378955455,-1910620.8939151915,-2363120.607704746
2024-04-01,12173364.657278638,-897442.3938244898,10642967.051103126,2427840.0,913002.3492958979,234145.27512426875,1011081.869854797,136065.7545653697,61682.46361972345,0.0,155000.0,300045.2111113308,-1114124.8574442132,-1414170.0685555441
2024-05-01,12725703.971207174,-499549.5090747245,10804613.480281899,2420640.0,954427.797840538,237701.49656620176,1026438.2806267804,165691.0137799594,29625.25921458972,0.0,155000.0,434175.61713584996,-684174.7682893142,-1118350.3854251641
2024-06-01,18979730.730797436,1987325.099904517,14564565.630892918,2427840.0,1423479.8048098076,320420.44387964415,1383633.734934827,360266.51375462464,194575.49997466523,258352.26298758722,155000.0,403291.6150590287,1379397.3369422646,976105.7218832358
2024-07-01,25001466.572969396,7400286.69188196,15180539.881087435,2420640.0,1875109.9929727046,333971.87738392357,1442151.2887033063,766930.5816533219,406664.0678986972,962037.2699446549,155000.0,422194.95759686857,5876585.354038608,5454390.39644174
2024-08-01,26533687.147076964,8802848.482636701,15302998.664440261,2427840.0,1990026.5360307721,336665.9706176857,1453784.8731218248,872907.6335266328,105977.05187331093,1144370.302742771,155000.0,481179.35032086575,7397501.128020619,6916321.777699754
2024-09-01,19985557.67136893,2587928.0019860095,14976989.669382922,2420640.0,1498916.8253526697,329493.7727264243,1422814.0185913777,405596.5794877163,-467311.0540389165,336430.64025818126,155000.0,424446.8491795699,2563808.4157667444,2139361.5665871743
2024-10-01,12601817.187262572,-443072.1553269203,10617049.342589492,2427840.0,945136.2890446929,233575.0855369688,1008619.6875460017,170091.68703566003,-235504.8924520563,0.0,155000.0,333743.9101572588,-362567.26287486404,-696311.1730321229
2024-11-01,10803801.75296478,-2016559.5823368898,10399721.33530167,2420640.0,810285.1314723585,228793.86937663672,987973.5268536586,51105.473995336564,-118986.21304032346,0.0,155000.0,395481.95959176036,-2052573.3692965664,-2448055.328888327
2024-12-01,11470054.232319014,-1298284.547547998,10340498.779867012,2427840.0,860254.0674239261,227490.97315707424,982347.3840873662,105397.6564936341,54292.18249829754,0.0,155000.0,465844.0815404282,-1507576.7300462956,-1973420.8115867237
2025-01-01,10981526.529922128,-2609213.3681548145,11162899.898076942,2427840.0,823614.4897441595,245583.79775769272,1060475.4903173095,8722.797184542753,-96674.85930909135,0.0,158100.0,485777.0023004834,-2670638.5088457232,-3156415.5111462064
2025-02-01,11096250.227106536,-2573198.894734067,11248809.121840602,2420640.0,832218.7670329901,247473.80068049324,1068636.8665748572,11055.701138626086,2332.903954083333,0.0,158100.0,413790.7531990087,-2733631.79868815,-3147422.551887159
2025-03-01,12238673.205735674,-1486445.9141664673,11297279.119902141,2427840.0,917900.4904301756,248540.1406378471,1073241.5163907034,93199.1146773193,82143.41353869322,0.0,158100.0,420520.7882551505,-1726689.3277051605,-2147210.115960311
2025-04-01,12814434.130748248,-768636.7091479467,11162430.839896195,2420640.0,961082.5598061185,245573.47847771627,1060430.9297901385,146225.1084936962,53025.9938163769,0.0,158100.0,351435.3213428829,-979762.7029643236,-1331198.0243072065
2025-05-01,13748314.213643221,-51504.00427199318,11371978.217915215,2427840.0,1031123.5660232415,250183.5207941347,1080337.9307019454,200969.15611543087,54744.04762173467,0.0,158100.0,430847.55372493016,-264348.05189372785,-695195.605618658
2025-06-01,20503935.067946132,2537388.6412944878,15545906.426651645,2420640.0,1537795.1300959599,342009.94138633617,1476861.1105319064,402943.96095038974,201974.80483495886,329860.5233682834,158100.0,339126.5079771372,1847453.3130912452,1508326.8051141081
2025-07-01,26428694.449441746,8367311.900712538,15633542.54872921,2427840.0,1982152.0837081308,343937.93607204256,1485186.542129275,840903.4776508985,437959.5167005088,1087750.5470926298,158100.0,460543.8303165621,6683501.836919399,6222958.006602837
2025-08-01,27512691.66709827,9209910.583462304,15882141.083635963,2420640.0,2063451.87503237,349407.10383999115,1508803.4029454165,904055.5759269446,63152.098276046105,1197288.3758500996,158100.0,368853.565501722,7791370.109336156,7422516.543834435
2025-09-01,20402038.824120805,2916996.565356366,15057202.258764438,2427840.0,1530152.9118090603,331258.44969281764,1430434.2145826216,430977.1469192563,-473078.4290076883,379209.5534963276,158100.0,311108.10466395377,2852765.440867726,2541657.3362037726
2025-10-01,13082821.555819256,-808221.764264483,11470403.32008374,2420640.0,981211.6166864441,252348.87304184225,1089688.3154079553,143872.17432033108,-287104.97259892523,0.0,158100.0,426368.08977476065,-679216.7916655578,-1105584.8814403184
2025-11-01,11422081.996097825,-2110912.704915308,11105154.701013133,2427840.0,856656.1497073369,244313.40342228892,1054989.6965962476,45979.85653337813,-97892.31778695295,0.0,158100.0,391100.80599619163,-2171120.387128355,-2562221.1931245467
2025-12-01,11973996.01624648,-1691066.7665152464,11244422.782761727,2420640.0,898049.7012184861,247377.30122075797,1068220.164362364,77206.83807687997,31226.98154350184,0.0,158100.0,415504.71503066487,-1880393.7480587482,-2295898.463089413
2026-01-01,10967755.172520032,-2540602.364708169,11087717.5372282,2420640.0,822581.6379390024,243929.78581902038,1053333.1660366792,13178.257721343543,-64028.580355536425,0.0,161200.0,442446.97888457874,-2637773.7843526322,-3080220.763237211
2026-02-01,11086443.007176755,-2186688.9431903204,10845291.950367076,2427840.0,831483.2255382566,238596.42290807568,1030302.7352848722,39776.91316145996,26598.655440116418,0.0,161200.0,384309.11029917933,-2374487.5986304367,-2758796.708929616
2026-03-01,12378861.400055937,-1319849.0120184764,11278070.412074413,2420640.0,928414.6050041952,248117.54906563708,1071416.6891470694,105115.46492276294,65338.55176130298,0.0,161200.0,417407.4236389938,-1546387.5637797792,-1963794.9874187731
2026-04-01,13649330.582503427,58890.779591642786,11162599.802911784,2427840.0,1023699.793687757,245577.19566405925,1060446.9812766195,208830.00807519676,103714.54315243382,7655.801346913562,161200.0,453891.2748697137,-213679.5649077046,-667570.8397774183
2026-05-01,14074888.213929087,470353.50258844835,11183894.711340638,2420640.0,1055616.6160446815,246045.68364949402,1062469.9975773606,239192.302116815,30362.29404161824,61145.955336498286,161200.0,413098.8415161516,217645.25321033184,-195453.58830581978
2026-06-01,21295879.79820997,3589179.5340067446,15278860.264203226,2427840.0,1597190.9848657476,336134.92581247096,1451491.7250993066,481834.18557891203,242641.88346209703,466593.3394208768,161200.0,412501.3613173635,2718744.3111237707,2306242.949806407
2026-07-01,28200636.7196428,9713195.455109987,16066801.264532812,2420640.0,2115047.7539732098,353469.6278197218,1526346.1201306172,942171.2616623146,460337.0760834026,1262715.4091642983,161200.0,409582.4301157319,7828942.969862286,7419360.539746555
2026-08-01,28380098.7879067,10470520.130912516,15481738.65699418,2427840.0,2128507.4090930023,340598.25045387197,1470765.1724144472,998340.4871324273,56169.22547011264,1361167.6170186272,161200.0,389239.54140648356,8891983.288423777,8502743.747017292
2026-09-01,22223661.323881228,4180274.5607239706,15622746.763157258,2420640.0,1666774.599291092,343700.42878945963,1484160.9424999396,526314.0855806121,-472026.4015518152,543435.6928941162,161200.0,460045.38865892676,3947665.2693816703,3487619.8807227435
