month,route_id,budget_revenue,budget_fuel_cost,budget_crew_cost,budget_port_cost,budget_maintenance_cost,budget_catering_cost,budget_distribution_cost,budget_other_variable_cost,budget_fixed_allocated,budget_variable_cost,budget_ebitda
2024-01-01,DEN-IBZ,1669028.047418867,776005.3643634737,264921.4517833713,172495.34479745277,140278.511708433,56755.17307684189,53424.34616690063,32632.028255478097,297384.198449643,1496512.2201519513,-124868.37118272728
2024-01-01,DEN-FOR,1263031.8851230596,606632.3953896271,239900.66856166677,167825.48253087574,154300.29312574028,53302.57851054122,45120.034563962705,25550.69563408615,284866.9522790218,1292632.1483164998,-314467.21547246195
2024-01-01,DEN-PMI,1556660.2400705072,694231.8032126114,186936.79550095132,126940.18905066556,108886.03082326728,55386.24999588894,53502.33878885334,31979.787190090276,319026.2672823171,1257863.1945623278,-20229.221774137754
2024-01-01,BCN-PMI,1554635.8751936594,871854.7842324312,260996.11451572875,135485.82816681656,134810.83186715818,54072.118780319084,54935.6222860513,32028.0405597973,360198.55359312554,1544183.3404083024,-349746.0188077685
2024-01-01,BCN-IBZ,1671933.9364163263,1156509.91413086,304751.5433461078,133436.91013521538,157828.48916551503,51453.06598940314,59372.43086777217,34731.50415757089,365943.29728457355,1898083.8577924443,-592093.2186606915
2024-01-01,VAL-PMI,1470959.8443402003,980827.6322880365,255859.25233714355,118965.15921561206,111424.81539464685,48068.32179039582,51298.92634768906,29780.53040556851,365381.1999227821,1596224.6377790924,-490645.9933616742
2024-01-01,VAL-IBZ,1228008.1399579796,728930.0915615578,218178.95573320816,120691.56944753163,110611.0701224941,47512.16123951339,42560.00973583068,25807.94793471947,336358.3172907947,1294291.8057748552,-402641.9831076703
2024-02-01,DEN-IBZ,1322693.9865245065,671846.8084173105,244818.585788127,160996.92552218144,133504.95983016948,48583.24353869758,47103.225191531244,26194.540406316963,301957.4441109591,1333048.2886943342,-312311.7462807869
2024-02-01,DEN-FOR,1313893.2800442572,613300.1055674535,252549.52329401128,166650.38761063106,129877.22860566364,58589.732223175866,48802.00434908477,28189.74196628501,288472.02831160056,1297958.7236163053,-272537.47188364866
2024-02-01,DEN-PMI,1523423.186240732,653356.2615589991,197407.36016229668,129224.21702464316,131931.138373374,52471.12273514372,54258.66756132975,30381.812601373458,334973.18002084736,1249030.58001716,-60580.57379727531
2024-02-01,BCN-PMI,1379558.274321147,867620.5140231936,254202.28935935587,126026.95534217563,120451.78005489452,46452.069029055194,46488.432486633246,28493.175120088654,366317.4845910737,1489735.215415397,-476494.42568532366
2024-02-01,BCN-IBZ,1712417.354050856,976738.8680564208,276007.65154228295,126496.60983861487,140139.1167169676,57773.06508051107,62568.23081644173,33677.1306562972,381066.43132672494,1673400.6727075367,-342049.7499834056
2024-02-01,VAL-PMI,1649362.241818943,958180.3214157388,249340.95915794474,131701.20367337897,131852.20729198316,53975.53993267944,55275.60696029601,33256.220401177176,385504.34491214703,1613582.0588331982,-349724.1619264021
